TB,Pad8590,Pad8373,Pad2378,Pad2124,Pad1319
454,1.76725,1.96881,3.49499,2.80829,2.31026
455,1.55799,1.44234,3.11983,2.78908,2.60109
456,1.4793,1.79936,2.58663,2.99664,3.39715
457,1.88392,2.7085,2.91196,3.42718,3.69269
458,2.51257,3.09877,3.75664,3.60638,3.33036
459,2.60756,2.97808,4.10283,3.24937,3.32005
460,1.98775,2.70884,3.52454,2.77749,3.49543
461,1.62682,2.29427,2.96741,2.61341,3.42602
462,2.17967,1.86383,3.12247,2.90904,2.93826
463,3.03058,1.56356,3.38034,3.25291,2.27573
464,2.87588,1.79421,3.46001,3.22725,2.1817
465,1.83048,2.56669,3.11905,2.87397,2.92577
466,1.31648,2.81482,2.82823,2.99771,3.41237
467,2.06502,2.42982,3.07781,3.40893,2.87897
468,3.1696,1.97106,3.70588,3.37733,2.26515
469,3.07541,1.64798,3.94023,2.90131,2.1486
470,1.56427,1.76154,3.68521,2.28983,2.18268
471,0.376047,2.01779,3.47012,2.12367,2.05204
472,0.684787,2.08386,3.6325,2.44478,2.04773
473,2.14367,1.83747,3.7803,2.69719,2.48589
474,3.24627,1.45526,3.48151,2.95889,3.15987
475,2.91711,1.36727,3.24421,3.07983,3.51776
476,2.20593,1.917,3.27006,2.84594,3.60811
477,2.48028,2.92943,3.70559,2.8347,3.7979
478,2.98888,3.0044,3.92174,2.72435,3.18666
479,2.68363,2.0159,3.27076,1.61856,2.30509
480,1.84927,1.64086,2.31634,1.10308,2.38372
481,1.70618,2.16992,2.2301,2.24073,3.2067
482,2.48927,2.83139,3.12822,3.78902,4.27337
483,3.57027,2.97048,3.81545,4.48179,4.43533
484,4.10025,2.20375,3.08786,4.05306,3.28417
485,3.19286,1.3902,1.97575,3.34981,2.25938
486,1.5168,1.69939,2.38815,3.1697,2.72403
487,0.39403,2.64892,3.73578,3.19456,3.43285
488,0.257607,2.79963,4.18917,2.6965,3.05932
489,0.910806,1.9988,3.56946,2.27503,2.73767
490,2.15177,1.49107,3.35787,2.81483,3.38324
491,3.25749,1.90784,3.73246,3.43495,4.21325
492,3.91961,2.93907,4.24668,3.30337,4.10188
493,3.49962,3.39359,4.05253,2.93634,3.08283
494,2.03446,2.88565,2.96352,2.91428,1.92256
495,0.564359,2.64608,2.43058,3.1495,1.59838
496,0.245047,2.75549,3.27694,3.53942,2.57481
497,1.52896,2.56214,4.63914,3.72061,4.16368
498,2.76349,2.3128,4.76118,3.4414,4.57529
499,2.81462,1.98647,3.60728,3.08002,3.50701
500,2.27367,1.69067,2.56431,2.66268,2.09971
501,1.93876,1.8426,2.47565,2.59826,1.64421
502,1.97068,2.13892,3.29791,2.99196,2.60302
503,2.12077,2.291,3.75061,2.81969,3.68669
504,2.20179,2.4988,3.28278,2.20289,3.71556
